dataset,model,n_estimators,max_depth,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
breast_cancer,RC-Logit,200,3,2,0.9928612221587664,0.037737797333061526,0.8424484677589874,0.7873141391175633,0.31257068004510835,0.0019960176974052565,0.0008244494704525313
breast_cancer,RF-NoCal,200,3,2,0.9905768132495717,0.04043609496307316,0.8311833448293515,0.4250800642704613,0.013476163961262276,0.00673974885006873,2.960469558193329e-07
breast_cancer,CF-Iso,200,5,2,0.991504854368932,0.03418661300547016,0.8572743074110576,0.8805125976321556,0.13676581099196075,0.0036521638986798484,0.000315002141740048
breast_cancer,CF-Logit,200,5,2,0.9945745288406626,0.033566167363743266,0.859864605956137,0.03807248532414753,0.4453543423528197,0.00437070902902292,0.0010716789427487547
breast_cancer,RC-Iso,200,5,2,0.9757995431182183,0.043637411171751676,0.8178181696069117,0.0,2.4707123935307944e-12,0.0020107365305407987,0.00017543440496432057
breast_cancer,RC-Logit,200,5,2,0.9922901199314678,0.03421690496600814,0.8571478415032776,0.9291154248645777,0.9044655799794876,0.0012219167423902296,0.00034738009577643675
breast_cancer,RF-NoCal,200,5,2,0.9927184466019419,0.03598839700353317,0.849752039294644,0.6742229477151513,0.02491409697256844,0.004746717595473393,6.155526127093113e-06
breast_cancer,CF-Iso,200,7,2,0.9939320388349515,0.028002595780247438,0.8830919612778105,0.7951786467330944,0.08975005019240162,0.004179747883809463,6.736963546132164e-05
breast_cancer,CF-Logit,200,7,2,0.9937178754997145,0.03532604212578551,0.8525173047115799,0.015052858606494302,0.1346890430880924,0.005189699285007901,0.0011779021964378462
breast_cancer,RC-Iso,200,7,2,0.9751570531125071,0.027717972123426977,0.8842802365989252,0.0,2.1892213640451533e-178,0.0027682906443006563,1.2310181898509066e-08
breast_cancer,RC-Logit,200,7,2,0.9938606510565391,0.03143984015793115,0.868741809529117,0.8615906387241754,0.1900471320182121,0.0009721994531401761,0.0003604856474312537
breast_cancer,RF-NoCal,200,7,2,0.9944317532838377,0.03383221020190315,0.8587539036959095,0.7169549709179854,0.018751099622291715,0.0036867486499341955,6.686772116925383e-05
breast_cancer,CF-Iso,30,3,3,0.9873807325330871,0.04278904101940163,0.8074493154126927,0.9202900374065089,0.173109274977142,0.003134204703399457,7.372409751474536e-06
breast_cancer,CF-Logit,30,3,3,0.9812249923053248,0.04706733661529134,0.788196985231189,0.10080696128280808,0.29266650699030716,0.0014622515936699972,3.6945790527024395e-05
breast_cancer,RC-Iso,30,3,3,0.9831486611265005,0.03578664615293563,0.8389600923117897,0.6922762333817857,0.275004971787259,0.0014251729643691429,0.00037278545449872033
breast_cancer,RC-Logit,30,3,3,0.9862265312403816,0.03515687891035454,0.8417940449034046,0.005891241278576764,0.5303428982339581,0.0033069774909586457,0.0008205006760421776
breast_cancer,RF-NoCal,30,3,3,0.9813019390581718,0.04745124819753277,0.7864693831111026,0.4008370111082682,0.12278384696396062,0.004846826958020821,0.00011475951213688922
breast_cancer,CF-Iso,30,5,3,0.9708371806709757,0.046685121005025906,0.7899169554773835,0.6485021520254245,0.22006789459930287,0.0018337306589846698,0.0001394242679942234
breast_cancer,CF-Logit,30,5,3,0.9798399507540781,0.043916455972640885,0.8023759481231161,0.0,2.660962957559569e-08,0.004936587892143197,0.0006862325509237428
breast_cancer,RC-Iso,30,5,3,0.9707602339181287,0.033905381381812455,0.847425783781844,0.0,2.724112969902589e-06,0.0013527897742851565,0.0004635378158914749
breast_cancer,RC-Logit,30,5,3,0.9814558325638658,0.05123996439582733,0.769420160218777,5.15998355155034e-12,3.5344953586673315e-05,0.00499333118180237,0.0016992255727001856
breast_cancer,RF-NoCal,30,5,3,0.9921514312096029,0.03720146265284856,0.8325934180621815,0.8484946510174453,0.11922375263461717,0.002848858313805901,0.00022416327151820466
