dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
hastie,CF-Iso,7,0.9887879490954087,0.04347340972514764,0.8260952311942059,0.03946069403414265,0.0022705372711972743,0.0006986262630482173,4.050081737661091e-05
hastie,CF-Logit,7,0.9879392281105992,0.04438638475197856,0.8224430973503162,0.024972157847748533,0.0008414386956163134,0.00031824060665363175,1.0002842819020804e-05
hastie,RC-Iso,7,0.9826322217955281,0.05101418550078659,0.7959301975294956,0.0,0.041127496021723116,0.00017192623581259946,7.939471204523588e-06
hastie,RC-Logit,7,0.9840131990669626,0.050578698244022405,0.7976722580484255,0.07281946753569735,0.4465848860149849,0.0006832631642187197,0.0001591436478710919
hastie,RF-NoCal,7,0.9873929709279172,0.10937011316419161,0.5624915468022289,0.0,1.9673244732107796e-160,0.061439519261862606,0.00023639339985853232
hastie,CF-Iso,8,0.9836424791413267,0.05088657198312035,0.7964015908747826,0.0,0.8443155634907654,0.00015276718041185136,4.511167348454661e-06
hastie,CF-Logit,8,0.9813263306517581,0.05472520607967317,0.7810431227207238,0.5583685874719078,0.4421051163436641,0.00019095783775938544,1.0424060599790506e-05
hastie,RC-Iso,8,0.9800313324655556,0.056383126798181735,0.7744097417011485,0.727620268825869,0.9196944406885089,0.000263675722139347,3.121329586773758e-05
hastie,RC-Logit,8,0.9786589811436173,0.05858894351554479,0.7655842154969881,0.19428421248273808,0.33657311654559086,0.00022318706755175137,9.400181206275533e-06
hastie,RF-NoCal,8,0.981903367262019,0.11018265018612752,0.5591565433305825,0.0,1.7541365650408386e-152,0.05545822729967039,0.00020405563030318012
hastie,CF-Iso,9,0.985211370910384,0.04798851219923618,0.8080118199710501,0.0,0.20032557984222543,4.51117057142215e-05,4.786208648561433e-06
hastie,CF-Logit,9,0.9855796586059744,0.048363506979441986,0.806511574139857,0.015716653880058384,0.9372608280909851,0.0007752967720578471,0.00024693812711444585
hastie,RC-Iso,9,0.9775675675675676,0.0586851330196407,0.7652177288510107,0.0,0.6112733247040592,0.00014052716364394807,3.421182375202517e-05
hastie,RC-Logit,9,0.9822306187766713,0.053057209647000475,0.7877334251320216,0.7726362403208515,0.9382397756432465,4.3298369443789964e-05,1.1114458516166615e-05
hastie,RF-NoCal,9,0.9852827169274537,0.10959808205425565,0.561529721511246,0.0,1.0646940393648647e-157,0.05922569374633039,0.0002485543906472791
